[574001238000],LLLLLLLL,LL,[ 1416.0-1416.0-1.416 ],194.83,5.1241058435303,5195.44781643227,1013.92281406366
[574001230800],BBBBBBBB,LL,[ 1416.0-1416.0-1.416 ],155.704,6.40323747686831,6455.69842738205,1008.19287910268
[574001230080],GGGGGGGG,LL,[ 1416.0-1416.0-1.416 ],135.444,7.42351919350888,5764.71596998928,776.547594169346
[574201230080],GGGGGGGG,BL,[ 1416.0-1416.0-1.416 ],119.197,8.48313129342303,6266.77696078431,738.733934914216
[574001230008],NNNNNNNN,LL,[ 1416.0-1416.0-1.416 ],88.9426,10.6661888214075,3659.05383360522,343.05166492659
[574101230008],NNNNNNNN,LB,[ 1416.0-1416.0-1.416 ],66.0459,14.5980073719937,4107.32142857143,281.361786160714
[000001238000],LLLLLLLL,LL,[ 408.0-408.0-0.408 ],507.984,1.98201519412848,3383.4793814433,1707.09053667526
[000001230800],BBBBBBBB,LL,[ 408.0-408.0-0.408 ],480.375,2.07391000474925,3530.75816601738,1702.46450324843
[000001230080],GGGGGGGG,LL,[ 408.0-408.0-0.408 ],400.942,2.50195778196439,3523.19840983014,1408.17660282978
[000201230080],GGGGGGGG,BL,[ 408.0-408.0-0.408 ],352.024,2.8613613212622,3627.38321620504,1267.7123959322
[000001230008],NNNNNNNN,LL,[ 408.0-408.0-0.408 ],180.961,4.98775506132445,3128.16030534351,627.167987778626
[000101230008],NNNNNNNN,LB,[ 408.0-408.0-0.408 ],116.011,7.81787478891738,3303.40909090909,422.545663636364
