[5740012319000],LLLLLLLLLLLLLLLLLLL,LL,[ 1416.0-1416.0-1.416 ],168.193,5.75675411176162,5201.63757273483,903.6,,,,2.04,5.76
[5740012301900],BBBBBBBBBBBBBBBBBBB,LL,[ 1416.0-1416.0-1.416 ],104.086,9.17666923613405,6621.77718832891,721.6,,,,2.72,9.18
[5740012300190],GGGGGGGGGGGGGGGGGGG,LL,[ 1416.0-1416.0-1.416 ],112.33,8.59438786472433,5770.21091811414,671.4,,,,2.59,8.59
[5742012300190],GGGGGGGGGGGGGGGGGGG,BL,[ 1416.0-1416.0-1.416 ],97.8101,10.0951263758395,6370.96209912536,631.1,,,,2.96,10.1
[5740012300019],NNNNNNNNNNNNNNNNNNN,LL,[ 1416.0-1416.0-1.416 ],88.7454,10.8106355032081,3834.171875,354.7,,,,5.21,10.81
[5741012300019],NNNNNNNNNNNNNNNNNNN,LB,[ 1416.0-1416.0-1.416 ],67.1454,14.6525943150865,4065.36016949153,277.4,,,,7.98,14.65
[0000012319000],LLLLLLLLLLLLLLLLLLL,LL,[ 408.0-408.0-0.408 ],477.424,2.03889809791196,3391.28756629346,1663.3,,,,,
[0000012301900],BBBBBBBBBBBBBBBBBBB,LL,[ 408.0-408.0-0.408 ],343.557,2.71854373049445,3487.65213977228,1282.9,,,,3391.29,5201.64
[0000012300190],GGGGGGGGGGGGGGGGGGG,LL,[ 408.0-408.0-0.408 ],372.517,2.58960687178079,3442.70856715301,1329.4,,,,3487.65,6621.78
[0002012300190],GGGGGGGGGGGGGGGGGGG,BL,[ 408.0-408.0-0.408 ],332.434,2.96057695723743,3530.06412997007,1192.4,,,,3442.71,5770.21
[0000012300019],NNNNNNNNNNNNNNNNNNN,LL,[ 408.0-408.0-0.408 ],177.592,5.20876739728311,3147.36644093303,604.2,,,,3530.06,6370.96
[0001012300019],NNNNNNNNNNNNNNNNNNN,LB,[ 408.0-408.0-0.408 ],117.548,7.97944494980929,3280.24221453287,411.1,,,,3147.37,3834.17
,,,,,,,,,,,3280.24,4065.36
